serial;model;bezeichnung;auftrag;bemerkung
41WY890;6145-1TN;Hellweg_123;202230450;-
41WZ121;6145-1TN;Hellweg_123;202230450;-
41WZ122;6145-1TN;Hellweg_123;202230450;-
41WZ123;6145-1TN;Hellweg_123;202230450;-
41WZ124;6145-1TN;Hellweg_123;202230450;-
41WZ125;6145-1TN;Hellweg_123;202230450;-
41WZ129;6145-1TN;Hellweg_123;202230450;-
41WZ130;6145-1TN;Hellweg_123;202230450;-
41WZ131;6145-1TN;Hellweg_123;202230450;-
41WZ132;6145-1TN;Hellweg_123;202230450;-
41WZ133;6145-1TN;Hellweg_123;202230450;-
41WZ134;6145-1TN;Hellweg_123;202230450;-
41WZ150;6145-1TN;Hellweg_123;202230450;-
41WZ151;6145-1TN;Hellweg_123;202230450;-
41WZ185;6145-1TN;Hellweg_123;202230450;-
41WZ187;6145-1TN;Hellweg_123;202230450;-
41WZ188;6145-1TN;Hellweg_123;202230450;-
41WZ193;6145-1TN;Hellweg_123;202230450;-
41WZ194;6145-1TN;Hellweg_123;202230450;-
41WZ197;6145-1TN;Hellweg_123;202230450;-
41WZ198;6145-1TN;Hellweg_123;202230450;-
41WZ199;6145-1TN;Hellweg_123;202230450;-
41WZ200;6145-1TN;Hellweg_123;202230450;-
41WZ201;6145-1TN;Hellweg_123;202230450;-
41WZ237;6145-1TN;Hellweg_123;202230450;-
41WZ260;6145-1TN;Hellweg_123;202230450;-
41WZ261;6145-1TN;Hellweg_123;202230450;-
41WZ262;6145-1TN;Hellweg_123;202230450;-
41WZ263;6145-1TN;Hellweg_123;202230450;-
41WZ264;6145-1TN;Hellweg_123;202230450;-
41WZ265;6145-1TN;Hellweg_123;202230450;-
41WZ266;6145-1TN;Hellweg_123;202230450;-
41WZ267;6145-1TN;Hellweg_123;202230450;-
41WZ268;6145-1TN;Hellweg_123;202230450;-
41WZ269;6145-1TN;Hellweg_123;202230450;-
41WZ270;6145-1TN;Hellweg_123;202230450;-
41WZ271;6145-1TN;Hellweg_123;202230450;-
41WZ272;6145-1TN;Hellweg_123;202230450;-
41WZ273;6145-1TN;Hellweg_123;202230450;-
41WZ274;6145-1TN;Hellweg_123;202230450;-
41WZ275;6145-1TN;Hellweg_123;202230450;-
41WZ276;6145-1TN;Hellweg_123;202230450;-
41WZ277;6145-1TN;Hellweg_123;202230450;-
41WZ278;6145-1TN;Hellweg_123;202230450;-
41WZ279;6145-1TN;Hellweg_123;202230450;-
41WZ280;6145-1TN;Hellweg_123;202230450;-
41WZ281;6145-1TN;Hellweg_123;202230450;-
41WZ282;6145-1TN;Hellweg_123;202230450;-
41WZ283;6145-1TN;Hellweg_123;202230450;-
41WZ285;6145-1TN;Hellweg_123;202230450;-
41WZ287;6145-1TN;Hellweg_123;202230450;-
41WZ288;6145-1TN;Hellweg_123;202230450;-
41WZ291;6145-1TN;Hellweg_123;202230450;-
41WZ292;6145-1TN;Hellweg_123;202230450;-
41WZ293;6145-1TN;Hellweg_123;202230450;-
41WZ299;6145-1TN;Hellweg_123;202230450;-
41WZ304;6145-1TN;Hellweg_123;202230450;-
41WZ305;6145-1TN;Hellweg_123;202230450;-
41WZ307;6145-1TN;Hellweg_123;202230450;-
41XA703;6145-1TN;Hellweg_123;202230450;-
41XA720;6145-1TN;Hellweg_123;202230450;-
41XA724;6145-1TN;Hellweg_123;202230450;-
41XA736;6145-1TN;Hellweg_123;202230450;-
41XA737;6145-1TN;Hellweg_123;202230450;-
41XA738;6145-1TN;Hellweg_123;202230450;-
41XA739;6145-1TN;Hellweg_123;202230450;-
41XA747;6145-1TN;Hellweg_123;202230450;-
41XA749;6145-1TN;Hellweg_123;202230450;-
41XA750;6145-1TN;Hellweg_123;202230450;-
41XA751;6145-1TN;Hellweg_123;202230450;-
41XA752;6145-1TN;Hellweg_123;202230450;-
41XA755;6145-1TN;Hellweg_123;202230450;-
41XA758;6145-1TN;Hellweg_123;202230450;-
41XA760;6145-1TN;Hellweg_123;202230450;-
41XA761;6145-1TN;Hellweg_123;202230450;-
41XA762;6145-1TN;Hellweg_123;202230450;-
41XA764;6145-1TN;Hellweg_123;202230450;-
41XA765;6145-1TN;Hellweg_123;202230450;-
41XA767;6145-1TN;Hellweg_123;202230450;-
41XA768;6145-1TN;Hellweg_123;202230450;-
41XA769;6145-1TN;Hellweg_123;202230450;-
41XA770;6145-1TN;Hellweg_123;202230450;-
41XA771;6145-1TN;Hellweg_123;202230450;-
41XA773;6145-1TN;Hellweg_123;202230450;-
41XA774;6145-1TN;Hellweg_123;202230450;-
41XA775;6145-1TN;Hellweg_123;202230450;-
41XA776;6145-1TN;Hellweg_123;202230450;-
41XA777;6145-1TN;Hellweg_123;202230450;-
41XA778;6145-1TN;Hellweg_123;202230450;-
41XA779;6145-1TN;Hellweg_123;202230450;-
41XA781;6145-1TN;Hellweg_123;202230450;-
41XA782;6145-1TN;Hellweg_123;202230450;-
41XA786;6145-1TN;Hellweg_123;202230450;-
41XA787;6145-1TN;Hellweg_123;202230450;-
41XA788;6145-1TN;Hellweg_123;202230450;-
41XA790;6145-1TN;Hellweg_123;202230450;-
41XA792;6145-1TN;Hellweg_123;202230450;-
41XA793;6145-1TN;Hellweg_123;202230450;-
41XA794;6145-1TN;Hellweg_123;202230450;-
41XA796;6145-1TN;Hellweg_123;202230450;-
41XA799;6145-1TN;Hellweg_123;202230450;-
41XA801;6145-1TN;Hellweg_123;202230450;-
41XA806;6145-1TN;Hellweg_123;202230450;-
41XA809;6145-1TN;Hellweg_123;202230450;-
41XA810;6145-1TN;Hellweg_123;202230450;-
41XA811;6145-1TN;Hellweg_123;202230450;-
41XA812;6145-1TN;Hellweg_123;202230450;-
41XA813;6145-1TN;Hellweg_123;202230450;-
41XA814;6145-1TN;Hellweg_123;202230450;-
41XA815;6145-1TN;Hellweg_123;202230450;-
41XA816;6145-1TN;Hellweg_123;202230450;-
41XA817;6145-1TN;Hellweg_123;202230450;-
41XA818;6145-1TN;Hellweg_123;202230450;-
41XA819;6145-1TN;Hellweg_123;202230450;-
41XA820;6145-1TN;Hellweg_123;202230450;-
41XA821;6145-1TN;Hellweg_123;202230450;-
41XA822;6145-1TN;Hellweg_123;202230450;-
41XA824;6145-1TN;Hellweg_123;202230450;-
41XA825;6145-1TN;Hellweg_123;202230450;-
41XA826;6145-1TN;Hellweg_123;202230450;-
41XA827;6145-1TN;Hellweg_123;202230450;-
41XA828;6145-1TN;Hellweg_123;202230450;-
41XA829;6145-1TN;Hellweg_123;202230450;-
41XA830;6145-1TN;Hellweg_123;202230450;-
41XA831;6145-1TN;Hellweg_123;202230450;-
41XA832;6145-1TN;Hellweg_123;202230450;-
41XA833;6145-1TN;Hellweg_123;202230450;-
41XA834;6145-1TN;Hellweg_123;202230450;-
41XA835;6145-1TN;Hellweg_123;202230450;-
41XA836;6145-1TN;Hellweg_123;202230450;-
41XA837;6145-1TN;Hellweg_123;202230450;-
41XA838;6145-1TN;Hellweg_123;202230450;-
41XA839;6145-1TN;Hellweg_123;202230450;-
41XA840;6145-1TN;Hellweg_123;202230450;-
41XA841;6145-1TN;Hellweg_123;202230450;-
41XA842;6145-1TN;Hellweg_123;202230450;-
41XA843;6145-1TN;Hellweg_123;202230450;-
41XA845;6145-1TN;Hellweg_123;202230450;-
41XA846;6145-1TN;Hellweg_123;202230450;-
41XA847;6145-1TN;Hellweg_123;202230450;-
41XA848;6145-1TN;Hellweg_123;202230450;-
41XA849;6145-1TN;Hellweg_123;202230450;-
41XA850;6145-1TN;Hellweg_123;202230450;-
41XA851;6145-1TN;Hellweg_123;202230450;-
41XA852;6145-1TN;Hellweg_123;202230450;-
41XA853;6145-1TN;Hellweg_123;202230450;-
41XA854;6145-1TN;Hellweg_123;202230450;-
41XA856;6145-1TN;Hellweg_123;202230450;-
41XA857;6145-1TN;Hellweg_123;202230450;-
41XA858;6145-1TN;Hellweg_123;202230450;-
41XA859;6145-1TN;Hellweg_123;202230450;-
41XA861;6145-1TN;Hellweg_123;202230450;-
41XA864;6145-1TN;Hellweg_123;202230450;-
41XA865;6145-1TN;Hellweg_123;202230450;-
41XA866;6145-1TN;Hellweg_123;202230450;-
41XA867;6145-1TN;Hellweg_123;202230450;-
41XA869;6145-1TN;Hellweg_123;202230450;-
41XA870;6145-1TN;Hellweg_123;202230450;-
41XA871;6145-1TN;Hellweg_123;202230450;-
41XA872;6145-1TN;Hellweg_123;202230450;-
41XA873;6145-1TN;Hellweg_123;202230450;-
41XA874;6145-1TN;Hellweg_123;202230450;-
41XA875;6145-1TN;Hellweg_123;202230450;-
41XA876;6145-1TN;Hellweg_123;202230450;-
41XA877;6145-1TN;Hellweg_123;202230450;-
41XA878;6145-1TN;Hellweg_123;202230450;-
41XA879;6145-1TN;Hellweg_123;202230450;-
41XA881;6145-1TN;Hellweg_123;202230450;-
41XA882;6145-1TN;Hellweg_123;202230450;-
41XA883;6145-1TN;Hellweg_123;202230450;-
41XA884;6145-1TN;Hellweg_123;202230450;-
41XA885;6145-1TN;Hellweg_123;202230450;-
41XA886;6145-1TN;Hellweg_123;202230450;-
41XA887;6145-1TN;Hellweg_123;202230450;-
41XA888;6145-1TN;Hellweg_123;202230450;-
41XA889;6145-1TN;Hellweg_123;202230450;-
41XA890;6145-1TN;Hellweg_123;202230450;-
41XA891;6145-1TN;Hellweg_123;202230450;-
41XA892;6145-1TN;Hellweg_123;202230450;-
41XA893;6145-1TN;Hellweg_123;202230450;-
41XA894;6145-1TN;Hellweg_123;202230450;-
41XA895;6145-1TN;Hellweg_123;202230450;-
41XA896;6145-1TN;Hellweg_123;202230450;-
41XA897;6145-1TN;Hellweg_123;202230450;-
41XA898;6145-1TN;Hellweg_123;202230450;-
41XA899;6145-1TN;Hellweg_123;202230450;-
41XA900;6145-1TN;Hellweg_123;202230450;-
41XA903;6145-1TN;Hellweg_123;202230450;-
41XA905;6145-1TN;Hellweg_123;202230450;-
41XA906;6145-1TN;Hellweg_123;202230450;-
41XA908;6145-1TN;Hellweg_123;202230450;-
41XA909;6145-1TN;Hellweg_123;202230450;-
41XA913;6145-1TN;Hellweg_123;202230450;-
41XA921;6145-1TN;Hellweg_123;202230450;-
41XA922;6145-1TN;Hellweg_123;202230450;-
41XA923;6145-1TN;Hellweg_123;202230450;-
41XA924;6145-1TN;Hellweg_123;202230450;-
41XA926;6145-1TN;Hellweg_123;202230450;-
41XA928;6145-1TN;Hellweg_123;202230450;-
41XF295;6145-1TN;Hellweg_123;202230450;-
41XF797;6145-1TN;Hellweg_123;202230450;-
41XF809;6145-1TN;Hellweg_123;202230450;-
41XG149;6145-1TN;Hellweg_123;202230450;-
41XG189;6145-1TN;Hellweg_123;202230450;-
41XG205;6145-1TN;Hellweg_123;202230450;-
41XG206;6145-1TN;Hellweg_123;202230450;-
41XG218;6145-1TN;Hellweg_123;202230450;-
41XG219;6145-1TN;Hellweg_123;202230450;-
41XG233;6145-1TN;Hellweg_123;202230450;-
41XG238;6145-1TN;Hellweg_123;202230450;-
41XG239;6145-1TN;Hellweg_123;202230450;-
41XG241;6145-1TN;Hellweg_123;202230450;-
41XG244;6145-1TN;Hellweg_123;202230450;-
41XG247;6145-1TN;Hellweg_123;202230450;-
41XG248;6145-1TN;Hellweg_123;202230450;-
41XG249;6145-1TN;Hellweg_123;202230450;-
41XG250;6145-1TN;Hellweg_123;202230450;-
41XG251;6145-1TN;Hellweg_123;202230450;-
41XG252;6145-1TN;Hellweg_123;202230450;-
41XG255;6145-1TN;Hellweg_123;202230450;-
41XG258;6145-1TN;Hellweg_123;202230450;-
41XG259;6145-1TN;Hellweg_123;202230450;-
41XG260;6145-1TN;Hellweg_123;202230450;-
