serial;mandant
41WY890;202320132
41WZ121;202320132
41WZ122;202320132
41WZ123;202320132
41WZ124;202320132
41WZ125;202320132
41WZ129;202320132
41WZ130;202320132
41WZ131;202320132
41WZ132;202320132
41WZ133;202320132
41WZ134;202320132
41WZ150;202320132
41WZ151;202320132
41WZ185;202320132
41WZ187;202320132
41WZ188;202320132
41WZ193;202320132
41WZ194;202320132
41WZ197;202320132
41WZ198;202320132
41WZ199;202320132
41WZ200;202320132
41WZ201;202320132
41WZ237;202320132
41WZ260;202320132
41WZ261;202320132
41WZ262;202320132
41WZ263;202320132
41WZ264;202320132
41WZ265;202320132
41WZ266;202320132
41WZ267;202320132
41WZ268;202320132
41WZ269;202320132
41WZ270;202320132
41WZ271;202320132
41WZ272;202320132
41WZ273;202320132
41WZ274;202320132
41WZ275;202320132
41WZ276;202320132
41WZ277;202320132
41WZ278;202320132
41WZ279;202320132
41WZ280;202320132
41WZ281;202320132
41WZ282;202320132
41WZ283;202320132
41WZ285;202320132
41WZ287;202320132
41WZ288;202320132
41WZ291;202320132
41WZ292;202320132
41WZ293;202320132
41WZ299;202320132
41WZ304;202320132
41WZ305;202320132
41WZ307;202320132
41XA703;202320132
41XA720;202320132
41XA724;202320132
41XA736;202320132
41XA737;202320132
41XA738;202320132
41XA739;202320132
41XA747;202320132
41XA749;202320132
41XA750;202320132
41XA751;202320132
41XA752;202320132
41XA755;202320132
41XA758;202320132
41XA760;202320132
41XA761;202320132
41XA762;202320132
41XA764;202320132
41XA765;202320132
41XA767;202320132
41XA768;202320132
41XA769;202320132
41XA770;202320132
41XA771;202320132
41XA773;202320132
41XA774;202320132
41XA775;202320132
41XA776;202320132
41XA777;202320132
41XA778;202320132
41XA779;202320132
41XA781;202320132
41XA782;202320132
41XA786;202320132
41XA787;202320132
41XA788;202320132
41XA790;202320132
41XA792;202320132
41XA793;202320132
41XA794;202320132
41XA796;202320132
41XA799;202320132
41XA801;202320132
41XA806;202320132
41XA809;202320132
41XA810;202320132
41XA811;202320132
41XA812;202320132
41XA813;202320132
41XA814;202320132
41XA815;202320132
41XA816;202320132
41XA817;202320132
41XA818;202320132
41XA819;202320132
41XA820;202320132
41XA821;202320132
41XA822;202320132
41XA824;202320132
41XA825;202320132
41XA826;202320132
41XA827;202320132
41XA828;202320132
41XA829;202320132
41XA830;202320132
41XA831;202320132
41XA832;202320132
41XA833;202320132
41XA834;202320132
41XA835;202320132
41XA836;202320132
41XA837;202320132
41XA838;202320132
41XA839;202320132
41XA840;202320132
41XA841;202320132
41XA842;202320132
41XA843;202320132
41XA845;202320132
41XA846;202320132
41XA847;202320132
41XA848;202320132
41XA849;202320132
41XA850;202320132
41XA851;202320132
41XA852;202320132
41XA853;202320132
41XA854;202320132
41XA856;202320132
41XA857;202320132
41XA858;202320132
41XA859;202320132
41XA861;202320132
41XA864;202320132
41XA865;202320132
41XA866;202320132
41XA867;202320132
41XA869;202320132
41XA870;202320132
41XA871;202320132
41XA872;202320132
41XA873;202320132
41XA874;202320132
41XA875;202320132
41XA876;202320132
41XA877;202320132
41XA878;202320132
41XA879;202320132
41XA881;202320132
41XA882;202320132
41XA883;202320132
41XA884;202320132
41XA885;202320132
41XA886;202320132
41XA887;202320132
41XA888;202320132
41XA889;202320132
41XA890;202320132
41XA891;202320132
41XA892;202320132
41XA893;202320132
41XA894;202320132
41XA895;202320132
41XA896;202320132
41XA897;202320132
41XA898;202320132
41XA899;202320132
41XA900;202320132
41XA903;202320132
41XA905;202320132
41XA906;202320132
41XA908;202320132
41XA909;202320132
41XA913;202320132
41XA921;202320132
41XA922;202320132
41XA923;202320132
41XA924;202320132
41XA926;202320132
41XA928;202320132
41XF295;202320132
41XF797;202320132
41XF809;202320132
41XG149;202320132
41XG189;202320132
41XG205;202320132
41XG206;202320132
41XG218;202320132
41XG219;202320132
41XG233;202320132
41XG238;202320132
41XG239;202320132
41XG241;202320132
41XG244;202320132
41XG247;202320132
41XG248;202320132
41XG249;202320132
41XG250;202320132
41XG251;202320132
41XG252;202320132
41XG255;202320132
41XG258;202320132
41XG259;202320132
41XG260;202320132
41XG261;202320132
41XG262;202320132
41XG263;202320132
41XG264;202320132
41XG265;202320132
41XG266;202320132
41XG268;202320132
41XG269;202320132
41XG270;202320132
41XG271;202320132
41XG272;202320132
41XG273;202320132
41XG274;202320132
41XG275;202320132
41XG276;202320132
41XG277;202320132
41XG279;202320132
41XG280;202320132
41XG281;202320132
41XG282;202320132
41XG283;202320132
41XG284;202320132
41XG285;202320132
41XG286;202320132
41XG287;202320132
41XG288;202320132
41XG289;202320132
41XG290;202320132
41XG291;202320132
41XG292;202320132
41XG293;202320132
41XG295;202320132
41XG296;202320132
41XG298;202320132
41XG300;202320132
41XG301;202320132
41XG302;202320132
41XG303;202320132
41XG304;202320132
41XG305;202320132
41XG308;202320132
41XG309;202320132
41XG310;202320132
41XG312;202320132
41XG313;202320132
41XG315;202320132
41XG321;202320132
41XG322;202320132
41XG332;202320132
41XG355;202320132
41XG371;202320132
41XG374;202320132
41XG378;202320132
41XG380;202320132
41XG382;202320132
41XG383;202320132
41XG384;202320132
41XG385;202320132
41XG386;202320132
41XG387;202320132
41XG388;202320132
41XG389;202320132
41XG391;202320132
41XG392;202320132
41XG393;202320132
41XG395;202320132
41XG396;202320132
41XG397;202320132
41XG398;202320132
41XG401;202320132
41XG402;202320132
41XG403;202320132
41XG404;202320132
41XG405;202320132
41XG406;202320132
41XG407;202320132
41XG410;202320132
41XG411;202320132
41XG412;202320132
41XG413;202320132
41XG414;202320132
41XG415;202320132
41XG416;202320132
41XG417;202320132
41XG419;202320132
41XG420;202320132
41XG421;202320132
41XG425;202320132
41XG426;202320132
41XG429;202320132
41XG436;202320132
41XG438;202320132
41XG439;202320132
41XG440;202320132
41XG441;202320132
41XG442;202320132
41XG444;202320132
41XG445;202320132
41XG446;202320132
41XG447;202320132
41XG448;202320132
41XG449;202320132
41XG450;202320132
41XG451;202320132
41XG452;202320132
41XG454;202320132
41XG456;202320132
41XG461;202320132
41XG462;202320132
41XG466;202320132
41XG467;202320132
41XG514;202320132
41XG657;202320132
41XG673;202320132
41XG828;202320132
41XH088;202320132
41XH177;202320132
41XH189;202320132
41XH190;202320132
41XH194;202320132
41XH195;202320132
41XH196;202320132
41XH197;202320132
41XH198;202320132
41XH199;202320132
41XH200;202320132
41XH203;202320132
41XH204;202320132
41XH205;202320132
41XH207;202320132
41XH209;202320132
41XH210;202320132
41XH211;202320132
41XH212;202320132
41XH213;202320132
41XH215;202320132
41XH216;202320132
41XH217;202320132
41XH218;202320132
41XH219;202320132
41XH221;202320132
41XH222;202320132
41XH223;202320132
41XH225;202320132
41XH226;202320132
41XH227;202320132
41XH228;202320132
41XH229;202320132
41XH230;202320132
41XH231;202320132
41XH232;202320132
41XH233;202320132
41XH235;202320132
41XH239;202320132
41XH241;202320132
41XH245;202320132
41XH246;202320132
41XH248;202320132
41XH249;202320132
41XH250;202320132
41XH251;202320132
41XH253;202320132
41XH254;202320132
41XH255;202320132
41XH256;202320132
41XH257;202320132
41XH258;202320132
41XH260;202320132
41XH261;202320132
41XH262;202320132
41XH263;202320132
41XH265;202320132
41XH267;202320132
41XH269;202320132
41XH275;202320132
41XG016;202320132
41XG039;202320132
41XG087;202320132
41XG143;202320132
41XG182;202320132
41XG294;202320132
41XG299;202320132
41XG311;202320132
41XG314;202320132
41XG316;202320132
41XG317;202320132
41XG318;202320132
41XG319;202320132
41XG320;202320132
41XG323;202320132
41XG324;202320132
41XG325;202320132
41XG326;202320132
41XG327;202320132
41XG328;202320132
41XG329;202320132
41XG330;202320132
41XG331;202320132
41XG333;202320132
41XG334;202320132
41XG335;202320132
41XG336;202320132
41XG338;202320132
41XG340;202320132
41XG341;202320132
41XG342;202320132
41XG343;202320132
41XG344;202320132
41XG345;202320132
41XG346;202320132
41XG347;202320132
41XG348;202320132
41XG349;202320132
41XG350;202320132
41XG351;202320132
41XG352;202320132
41XG353;202320132
41XG354;202320132
41XG356;202320132
41XG357;202320132
41XG358;202320132
41XG359;202320132
41XG360;202320132
41XG361;202320132
41XG362;202320132
41XG363;202320132
41XG364;202320132
41XG365;202320132
41XG366;202320132
41XG367;202320132
41XG368;202320132
41XG370;202320132
41XG372;202320132
41XG373;202320132
41XG375;202320132
41XG377;202320132
41XG379;202320132
41XG381;202320132
41XG390;202320132
41XG427;202320132
41XG505;202320132
41XG676;202320132
41XG867;202320132
41XG877;202320132
41XG946;202320132
41XG989;202320132
41XH007;202320132
41XH008;202320132
41XH027;202320132
41XH033;202320132
41XH034;202320132
41XH037;202320132
41XH039;202320132
41XH040;202320132
41XH042;202320132
41XH043;202320132
41XH046;202320132
41XH047;202320132
41XH048;202320132
41XH050;202320132
41XH054;202320132
41XH057;202320132
41XH058;202320132
41XH066;202320132
41XH068;202320132
41XH069;202320132
41XH070;202320132
41XH071;202320132
41XH072;202320132
41XH073;202320132
41XH074;202320132
41XH076;202320132
41XH077;202320132
41XH079;202320132
41XH080;202320132
41XH081;202320132
41XH082;202320132
41XH084;202320132
41XH085;202320132
41XH086;202320132
41XH089;202320132
41XH090;202320132
41XH091;202320132
41XH092;202320132
41XH093;202320132
41XH094;202320132
41XH095;202320132
41XH100;202320132
41XH101;202320132
41XH108;202320132
41XH109;202320132
41XH110;202320132
41XH112;202320132
41XH113;202320132
41XH114;202320132
41XH115;202320132
